variable,role,raw_blank_count,raw_blank_pct,special_missing_count,effective_missing_count,effective_missing_pct,audit_flags
_INCOMG1,Primary,0,0.0,94413,94413,21.52142842488939,HIGH_MISSING>=10%; DERIVED_CODE_COLLAPSES_MISSING_REASONS
_RFCHOL3,Alternative,61151,13.939360783053298,3138,64289,14.654667386988168,HIGH_MISSING>=10%; STRUCTURAL_OR_NONRANDOM_MISSING; REPRESENTATION_ALTERNATIVE
TOLDHI3,Primary,60836,13.867556582849511,3144,63980,14.584230885835881,HIGH_MISSING>=10%; STRUCTURAL_OR_NONRANDOM_MISSING
_VEGLT1A,Primary,0,0.0,60127,60127,13.705940144930508,HIGH_MISSING>=10%; DERIVED_CODE_COLLAPSES_MISSING_REASONS
_FRTLT1A,Primary,0,0.0,51087,51087,11.645273574002776,HIGH_MISSING>=10%; DERIVED_CODE_COLLAPSES_MISSING_REASONS
_BMI5,Primary,46852,10.679905993485193,0,46852,10.679905993485193,HIGH_MISSING>=10%; STRUCTURAL_OR_NONRANDOM_MISSING
_BMI5CAT,Alternative,46852,10.679905993485193,0,46852,10.679905993485193,HIGH_MISSING>=10%; STRUCTURAL_OR_NONRANDOM_MISSING; REPRESENTATION_ALTERNATIVE
_RFBING5,Primary,0,0.0,35322,35322,8.051644316184667,MATERIAL_MISSING>=5%; DERIVED_CODE_COLLAPSES_MISSING_REASONS
_RFDRHV7,Primary,0,0.0,34993,34993,7.976648818194045,MATERIAL_MISSING>=5%; DERIVED_CODE_COLLAPSES_MISSING_REASONS
DRNKANY5,Primary,0,0.0,30589,30589,6.972757714392524,MATERIAL_MISSING>=5%; DERIVED_CODE_COLLAPSES_MISSING_REASONS
CHOLCHK3,Primary,2,0.00045589968383356926,29780,29782,6.78880219196568,MATERIAL_MISSING>=5%
_SMOKER3,Primary,0,0.0,24970,24970,5.691907552662112,MATERIAL_MISSING>=5%; DERIVED_CODE_COLLAPSES_MISSING_REASONS
DIFFWALK,Sensitivity,18009,4.105148703079375,1821,19830,4.520245365209839,PROXY_TEMPORAL_SENSITIVITY
PRIMINSR,Primary,3,0.0006838495257503539,17394,17397,3.965643399826302,NONE
_RACEGR3,Primary,0,0.0,10990,10990,2.505168762665463,NONE
_AGEG5YR,Primary,0,0.0,9607,9607,2.18991413129455,NONE
PHYSHLTH,Primary,3,0.0006838495257503539,9491,9494,2.164155799157953,CONTEMPORANEOUS_STATUS_PROXY
EMPLOY1,Primary,3588,0.8178840327974233,4663,8251,1.88081414565539,NONE
MENTHLTH,Primary,2,0.00045589968383356926,7915,7917,1.804678898455184,CONTEMPORANEOUS_STATUS_PROXY
CHECKUP1,Primary,2,0.00045589968383356926,5903,5905,1.3460438165186133,NONE
MARITAL,Primary,5,0.0011397492095839231,4983,4988,1.1370138114809218,NONE
_MICHD,Target,4635,1.0565475172842966,0,4635,1.0565475172842966,NONE
PERSDOC3,Primary,2,0.00045589968383356926,3703,3705,0.844554164301687,NONE
HAVARTH5,Sensitivity,3,0.0006838495257503539,2893,2896,0.6601427421910083,PROXY_TEMPORAL_SENSITIVITY
ADDEPEV3,Sensitivity,3,0.0006838495257503539,2514,2517,0.5737497521045469,PROXY_TEMPORAL_SENSITIVITY
_EDUCAG,Primary,0,0.0,2478,2478,0.5648597082697924,DERIVED_CODE_COLLAPSES_MISSING_REASONS
CHCCOPD3,Primary,3,0.0006838495257503539,2104,2107,0.48029031691866525,NONE
BPHIGH6,Primary,2,0.00045589968383356926,1910,1912,0.43584009774489224,NONE
CHCKDNY2,Primary,3,0.0006838495257503539,1810,1813,0.4132730633951306,NONE
ASTHMA3,Sensitivity,2,0.00045589968383356926,1744,1746,0.398000423986706,PROXY_TEMPORAL_SENSITIVITY
CVDSTRK3,Sensitivity,2,0.00045589968383356926,1427,1429,0.32574032409908527,PROXY_TEMPORAL_SENSITIVITY
MEDCOST1,Primary,5,0.0011397492095839231,1359,1364,0.31092358437449424,NONE
GENHLTH,Primary,4,0.0009117993676671385,1157,1161,0.26464976646538696,CONTEMPORANEOUS_STATUS_PROXY
DIABETE4,Primary,3,0.0006838495257503539,982,985,0.22453059428803285,NONE
EXERANY2,Primary,2,0.00045589968383356926,926,928,0.21153745329877613,NONE
SEXVAR,Primary,0,0.0,0,0,0.0,NONE
_AGE80,Alternative,0,0.0,0,0,0.0,REPRESENTATION_ALTERNATIVE; CDC_IMPUTED
