eps,min_samples,n_clusters,n_noise,noise_pct,silhouette_non_noise
1.5,5,6,640,87.19346049046321,0.1920726856314643
1.5,10,2,713,97.13896457765668,0.2754350463127535
1.5,15,0,734,100.0,
1.75,5,7,488,66.4850136239782,0.15451533227615072
1.75,10,2,590,80.38147138964578,0.4621894995045065
1.75,15,2,675,91.96185286103542,0.2290107372902202
2.0,5,11,318,43.32425068119891,0.09154236290717845
2.0,10,2,474,64.57765667574932,0.3828096206619317
2.0,15,2,510,69.48228882833789,0.42196101028819605
2.25,5,7,191,26.021798365122617,-0.021984716850115143
2.25,10,2,288,39.23705722070845,0.13759760403775148
2.25,15,3,390,53.13351498637602,0.27843011978055177
2.5,5,1,94,12.806539509536785,
2.5,10,1,159,21.662125340599456,
2.5,15,1,207,28.201634877384198,
2.75,5,1,51,6.948228882833788,
2.75,10,1,70,9.536784741144414,
2.75,15,1,105,14.305177111716622,
3.0,5,1,19,2.588555858310627,
3.0,10,1,26,3.5422343324250685,
3.0,15,1,34,4.632152588555858,
