rank_by_val_loss,experiment,hidden_units,dropout_rate,learning_rate,batch_size,params,epochs_run,best_val_loss,best_val_loss_epoch,final_train_loss,final_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,checkpoint_path
1,dropout_0p1,"(64, 32)",0.1,0.001,32,4161,26,0.3435405492782593,18,0.1671716570854187,0.36618348956108093,0.7959183673469388,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.9227459783015337,0.9191149245409946,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\dropout_0p1.keras
2,batch_32,"(64, 32)",0.1,0.001,32,4161,26,0.3435405492782593,18,0.1671716570854187,0.36618348956108093,0.7959183673469388,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.9227459783015337,0.9191149245409946,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\batch_32.keras
3,batch_64,"(64, 32)",0.1,0.001,64,4161,36,0.34424665570259094,28,0.17914211750030518,0.34444376826286316,0.8299319727891157,0.8255813953488372,0.8765432098765432,0.8502994011976048,0.9233071455293678,0.9196645599825382,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\batch_64.keras
4,lr_0p001,"(64, 32)",0.3,0.001,32,4161,25,0.3492974042892456,17,0.26661837100982666,0.3537064492702484,0.8231292517006803,0.8160919540229885,0.8765432098765432,0.8452380952380952,0.9201271979049757,0.9193919748414409,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\lr_0p001.keras
5,arch_day4_64_32,"(64, 32)",0.3,0.001,32,4161,25,0.3492974042892456,17,0.26661837100982666,0.3537064492702484,0.8231292517006803,0.8160919540229885,0.8765432098765432,0.8452380952380952,0.9201271979049757,0.9193919748414409,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\arch_day4_64_32.keras
6,dropout_0p3,"(64, 32)",0.3,0.001,32,4161,25,0.3492974042892456,17,0.26661837100982666,0.3537064492702484,0.8231292517006803,0.8160919540229885,0.8765432098765432,0.8452380952380952,0.9201271979049757,0.9193919748414409,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\dropout_0p3.keras
7,batch_16,"(64, 32)",0.1,0.001,16,4161,18,0.3539198935031891,10,0.16615253686904907,0.371986985206604,0.8163265306122449,0.8292682926829268,0.8395061728395061,0.8343558282208589,0.9214365881032547,0.9195845709528275,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\batch_16.keras
8,lr_0p0003,"(64, 32)",0.3,0.0003,32,4161,49,0.35563239455223083,42,0.29305127263069153,0.3567447066307068,0.8095238095238095,0.8117647058823529,0.8518518518518519,0.8313253012048193,0.9171343060231949,0.9174921414740486,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\lr_0p0003.keras
9,lr_0p003,"(64, 32)",0.3,0.003,32,4161,22,0.3590857982635498,14,0.16294467449188232,0.4391228258609772,0.8231292517006803,0.8235294117647058,0.8641975308641975,0.8433734939759037,0.921623643845866,0.9192903108293943,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\lr_0p003.keras
10,dropout_0p5,"(64, 32)",0.5,0.001,32,4161,32,0.3632405996322632,24,0.2974451184272766,0.36984995007514954,0.8095238095238095,0.8117647058823529,0.8518518518518519,0.8313253012048193,0.9122708567153012,0.9123315571287711,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\dropout_0p5.keras
11,arch_deeper_64_32_16,"(64, 32, 16)",0.3,0.001,32,4673,25,0.3640246093273163,17,0.2793629467487335,0.37815484404563904,0.8299319727891157,0.85,0.8395061728395061,0.84472049689441,0.9156378600823045,0.9173762778522061,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\arch_deeper_64_32_16.keras
12,arch_wide_128_64,"(128, 64)",0.3,0.001,32,12417,22,0.38247373700141907,14,0.17202016711235046,0.4292394816875458,0.8231292517006803,0.8235294117647058,0.8641975308641975,0.8433734939759037,0.9102132435465768,0.911539968727253,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\arch_wide_128_64.keras
13,arch_small_32_16,"(32, 16)",0.3,0.001,32,1569,27,0.392452597618103,19,0.3138137459754944,0.39647620916366577,0.8503401360544217,0.8314606741573034,0.9135802469135802,0.8705882352941177,0.9031051253273474,0.8990187590258001,C:\Users\HP\Desktop\BinX-AI-ML-Internship\week-6\d5\outputs\day5_checkpoints\arch_small_32_16.keras
