rank_by_validation,experiment,family,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,default_val_f1,best_scanned_val_f1,threshold_gain,selected_threshold,threshold_policy,notes
1,hgb_lr_0p05_l2_0p0_leaf_15,HistGradientBoosting,0.8571428571428571,0.8333333333333334,0.9259259259259259,0.8771929824561403,0.9098391320613544,0.8856457631375059,0.8771929824561403,0.8771929824561403,0.0,0.5,default 0.5,main HGB candidate
2,hgb_lr_0p05_l2_0p1_leaf_15,HistGradientBoosting,0.8639455782312925,0.8765432098765432,0.8765432098765432,0.8765432098765432,0.9167601945379723,0.8989028364830864,0.8654970760233918,0.8765432098765432,0.011046133853151452,0.665,validation tuned,same HGB with L2 regularization
3,rf_reference_refit,RandomForest,0.8503401360544217,0.8041237113402062,0.9629629629629629,0.8764044943820225,0.900299289188178,0.8821658936038625,0.8292682926829268,0.8764044943820225,0.047136201699095714,0.32500000000000007,validation tuned,Week 6 RF-style reference on the same train/validation split
4,extra_trees_leaf_4,ExtraTrees,0.8435374149659864,0.7959183673469388,0.9629629629629629,0.8715083798882681,0.9059109614665171,0.8951290907357488,0.8333333333333334,0.8715083798882681,0.038175046554934755,0.31000000000000005,validation tuned,more randomized tree ensemble
5,hgb_lr_0p03_l2_0p0_leaf_15,HistGradientBoosting,0.8503401360544217,0.8390804597701149,0.9012345679012346,0.8690476190476191,0.9175084175084175,0.8895106351271798,0.8690476190476191,0.874251497005988,0.005203877958368963,0.5,default 0.5,"lower learning rate, compact trees"
6,hgb_lr_0p03_l2_0p1_leaf_31,HistGradientBoosting,0.8435374149659864,0.8085106382978723,0.9382716049382716,0.8685714285714285,0.9004863449307894,0.8651194614371338,0.8520710059171598,0.8685714285714285,0.016500422654268765,0.385,validation tuned,larger HGB leaf budget
7,gb_lr_0p05_depth_2,GradientBoosting,0.8367346938775511,0.8,0.9382716049382716,0.8636363636363636,0.9064721286943509,0.9035811411404577,0.8343558282208589,0.8636363636363636,0.029280535415504794,0.33000000000000007,validation tuned,slightly faster boosted trees
8,gb_lr_0p03_depth_2,GradientBoosting,0.8503401360544217,0.8933333333333333,0.8271604938271605,0.8589743589743589,0.9053497942386831,0.9035825443836445,0.8343558282208589,0.8589743589743589,0.024618530753500067,0.6300000000000001,validation tuned,shallow boosted trees
9,adaboost_depth1,AdaBoost,0.8367346938775511,0.8202247191011236,0.9012345679012346,0.8588235294117647,0.8965581743359522,0.8981185938075684,0.8271604938271605,0.8588235294117647,0.03166303558460415,0.43500000000000005,validation tuned,simple stump boosting reference
10,gb_lr_0p05_depth_3,GradientBoosting,0.8231292517006803,0.7722772277227723,0.9629629629629629,0.8571428571428571,0.8969322858211747,0.8803978941182367,0.8343558282208589,0.8571428571428571,0.022787028921998242,0.2,validation tuned,deeper boosted trees
